Record Length,20000,Points,-32.00000000,-512.000024319E-3,
Sample Interval,3.20000015E-3,s,-31.99679947,-512.000024319E-3,
Trigger Point,10.0000000E3,Samples,-31.99360085,-512.000024319E-3,
,,,-31.99040031,-512.000024319E-3,
,,,-31.98719978,-512.000024319E-3,
,,,-31.98399925,-512.000024319E-3,
Source,CH1,,-31.98080063,-512.000024319E-3,
Vertical Units,V,,-31.97760010,-512.000024319E-3,
Vertical Scale,100.0000047E-3,,-31.97439957,-512.000024319E-3,
Vertical Offset,0,,-31.97120094,-512.000024319E-3,
Horizontal Units,s,,-31.96800041,-512.000024319E-3,
Horizontal Scale,6.40000030,,-31.96479988,-512.000024319E-3,
Pt Fmt,Y,,-31.96159935,-512.000024319E-3,
Yzero,0.0,,-31.95840073,-512.000024319E-3,
,,,-31.95520020,-512.000024319E-3,
,,,-31.95199966,-512.000024319E-3,
Note,TBS1102X - ÏÂÎç 4:15:40   13/7/26,,-31.94879913,-512.000024319E-3,
,,,-31.94560051,-512.000024319E-3,
,,,-31.94239998,-512.000024319E-3,
,,,-31.93919945,-512.000024319E-3,
,,,-31.93600082,-512.000024319E-3,
,,,-31.93280029,-512.000024319E-3,
,,,-31.92959976,-512.000024319E-3,
,,,-31.92639923,-512.000024319E-3,
,,,-31.92320061,-512.000024319E-3,
,,,-31.92000008,-512.000024319E-3,
,,,-31.91679955,-512.000024319E-3,
,,,-31.91360092,-512.000024319E-3,
,,,-31.91040039,-512.000024319E-3,
,,,-31.90719986,-512.000024319E-3,
,,,-31.90399933,-512.000024319E-3,
,,,-31.90080070,-512.000024319E-3,
,,,-31.89760017,-512.000024319E-3,
,,,-31.89439964,-512.000024319E-3,
,,,-31.89119911,-512.000024319E-3,
,,,-31.88800049,-512.000024319E-3,
,,,-31.88479996,-512.000024319E-3,
,,,-31.88159943,-512.000024319E-3,
,,,-31.87840080,-512.000024319E-3,
,,,-31.87520027,-512.000024319E-3,
,,,-31.87199974,-512.000024319E-3,
,,,-31.86879921,-512.000024319E-3,
,,,-31.86560059,-512.000024319E-3,
,,,-31.86240005,-512.000024319E-3,
,,,-31.85919952,-512.000024319E-3,
,,,-31.85600090,-512.000024319E-3,
,,,-31.85280037,-512.000024319E-3,
,,,-31.84959984,-512.000024319E-3,
,,,-31.84639931,-512.000024319E-3,
,,,-31.84320068,-512.000024319E-3,
,,,-31.84000015,-512.000024319E-3,
,,,-31.83679962,-512.000024319E-3,
,,,-31.83359909,-512.000024319E-3,
,,,-31.83040047,-512.000024319E-3,
,,,-31.82719994,-512.000024319E-3,
,,,-31.82399940,-512.000024319E-3,
,,,-31.82080078,-512.000024319E-3,
,,,-31.81760025,-512.000024319E-3,
,,,-31.81439972,-512.000024319E-3,
,,,-31.81119919,-512.000024319E-3,
